,Drug,Cell
258,760764,COLO205
124,351710,A498
237,756717,HCT_116
79,172112,SK_MEL_5
136,368390,SNB_19
13,24559,HS578T
74,156303,A498
200,697887,NCI_H226
120,343499,HCC_2998
193,681646,SR
156,609699,MDA_N
248,758667,MCF7
206,709237,EKVX
137,369100,HT29
177,656889,SK_OV_3
262,768112,ACHN
30,77213,NCI_H522
219,736493,DU_145
209,719627,COLO205
197,683557,HOP_92
187,681640,SW_620
88,246131,KM12
172,637651,KM12
125,352122,NCI_H226
82,178248,UACC_62
219,736493,U251
59,132483,HOP_62
125,352122,HS578T
200,697887,SK_MEL_2
243,758230,KM12
145,603076,COLO205
1,752,M14
191,681644,OVCAR_3
187,681640,U251
32,82151,HCT_116
215,735037,OVCAR_3
39,95466,A549
108,301739,RPMI_8226
114,320846,A498
133,364830,TK_10
36,94600,K_562
63,135758,HOP_62
158,610457,HOP_92
258,760764,MALME_3M
28,71851,KM12
51,118994,DU_145
31,79037,OVCAR_5
129,354646,M14
188,681641,A549
73,154948,NCI_ADR_RES
131,357704,K_562
111,308847,MOLT_4
191,681644,HOP_92
183,681636,MDA_N
229,754365,786_0
80,174121,A498
71,148958,OVCAR_3
229,754365,UACC_257
62,134727,IGROV1
150,606497,NCI_H322M
204,706744,CCRF_CEM
204,706744,NCI_H226
164,619232,NCI_H522
69,143095,T47D
217,736201,OVCAR_5
103,287459,EKVX
29,73754,CAKI_1
200,697887,SF_539
18,32065,786_0
114,320846,MDA_MB_231
215,735037,MALME_3M
118,337766,NCI_H226
242,757804,MCF7
56,126771,SR
51,118994,RXF_393
62,134727,786_0
158,610457,786_0
247,758612,HOP_62
238,757036,SNB_75
95,266046,NCI_H460
136,368390,ACHN
88,246131,HS578T
122,348948,SF_295
95,266046,MOLT_4
180,681633,SNB_19
236,756660,NCI_H23
178,673596,HOP_62
239,757087,UO_31
69,143095,HT29
198,683558,OVCAR_8
79,172112,SK_MEL_28
176,643833,U251
158,610457,ACHN
75,163501,UO_31
1,752,NCI_H23
17,27640,K_562
104,295499,TK_10
15,26271,HOP_92
179,681632,OVCAR_8
206,709237,HCT_116
5,1895,MDA_N
86,224131,NCI_H322M
134,365798,SNB_75
167,627505,MALME_3M
142,526598,HCT_15
215,735037,OVCAR_5
248,758667,SK_MEL_28
112,312887,BT_549
67,141549,SNB_19
40,95678,DU_145
133,364830,OVCAR_4
84,184692,MCF7
233,755841,K_562
10,9706,PC_3
192,681645,CAKI_1
215,735037,NCI_H23
166,627168,U251
126,352299,BT_549
174,639174,SW_620
230,754366,HCT_15
209,719627,RPMI_8226
0,740,IGROV1
206,709237,SF_268
40,95678,NCI_H460
34,85998,COLO205
233,755841,NCI_H23
27,71795,RXF_393
129,354646,SK_MEL_28
73,154948,SN12C
72,153353,HOP_62
60,134033,A498
214,734294,SK_MEL_5
51,118994,MCF7
229,754365,HOP_62
56,126771,UACC_257
257,760419,HOP_92
21,45388,MALME_3M
208,719276,OVCAR_4
178,673596,PC_3
7,3088,OVCAR_4
132,363812,LOXIMVI
231,754771,HT29
158,610457,U251
265,783107,T47D
109,302991,SK_MEL_5
180,681633,CCRF_CEM
16,26980,K_562
126,352299,HT29
110,303812,SNB_75
62,134727,OVCAR_3
227,753686,MOLT_4
252,759195,ACHN
227,753686,U251
245,758255,CAKI_1
117,329680,MALME_3M
53,123127,NCI_H23
227,753686,A498
226,752840,SNB_75
48,109724,U251
58,132313,OVCAR_5
130,355644,SK_OV_3
15,26271,HT29
218,736202,NCI_H23
175,639186,EKVX
170,634724,HOP_62
4,1390,HL_60
257,760419,NCI_H23
59,132483,CAKI_1
173,638066,MDA_MB_435
214,734294,SNB_19
41,100880,K_562
81,176323,HT29
65,139105,OVCAR_8
0,740,NCI_H23
168,629971,SNB_19
87,241240,COLO205
24,63878,IGROV1
107,296934,IGROV1
171,637037,UO_31
32,82151,HS578T
179,681632,OVCAR_5
194,682298,SK_OV_3
217,736201,MOLT_4
189,681642,MCF7
181,681634,HS578T
123,349174,UACC_62
268,791785,EKVX
178,673596,SN12C
214,734294,SK_MEL_2
104,295499,786_0
137,369100,HL_60
218,736202,T47D
53,123127,IGROV1
158,610457,SK_MEL_28
185,681638,NCI_H522
189,681642,786_0
258,760764,NCI_H23
104,295499,SF_539
27,71795,NCI_H23
166,627168,IGROV1
88,246131,HCT_15
1,752,LOXIMVI
251,759155,MOLT_4
116,328410,OVCAR_4
119,338947,ACHN
136,368390,SW_620
186,681639,HCT_116
242,757804,NCI_H226
129,354646,BT_549
224,740645,SNB_75
217,736201,OVCAR_3
119,338947,A549
90,249992,NCI_ADR_RES
112,312887,NCI_H226
18,32065,A498
125,352122,HOP_92
17,27640,MOLT_4
254,759614,CCRF_CEM
68,143020,MCF7
92,256927,MDA_MB_435
29,73754,HOP_92
150,606497,OVCAR_4
28,71851,SNB_19
144,603074,SF_539
119,338947,MDA_MB_231
169,633782,K_562
38,95441,SF_539
34,85998,ACHN
211,724998,HOP_92
181,681634,LOXIMVI
95,266046,CCRF_CEM
240,757098,T47D
135,366140,SK_OV_3
52,122819,EKVX
65,139105,HCT_116
48,109724,ACHN
239,757087,UACC_257
168,629971,SW_620
117,329680,HOP_92
61,134679,HCC_2998
254,759614,SK_MEL_5
201,697912,M14
67,141549,MDA_MB_231
225,747856,SK_MEL_5
173,638066,A549
119,338947,RXF_393
156,609699,ACHN
25,63984,RXF_393
221,737518,KM12
80,174121,EKVX
256,759878,NCI_H23
122,348948,SN12C
258,760764,HCT_116
245,758255,SK_MEL_5
52,122819,U251
61,134679,SK_OV_3
239,757087,U251
145,603076,CCRF_CEM
66,141540,IGROV1
57,127716,RXF_393
159,610458,HL_60
84,184692,MDA_MB_231
246,758423,HL_60
198,683558,MOLT_4
255,759857,MALME_3M
210,721517,ACHN
145,603076,HCC_2998
193,681646,OVCAR_8
41,100880,HT29
109,302991,NCI_ADR_RES
99,271674,SF_268
188,681641,MOLT_4
209,719627,SN12C
228,754230,OVCAR_4
224,740645,EKVX
116,328410,SNB_75
227,753686,NCI_H460
239,757087,OVCAR_8
36,94600,HCT_15
36,94600,KM12
268,791785,A549
168,629971,MALME_3M
13,24559,DU_145
243,758230,TK_10
98,269148,HCT_116
19,34462,SW_620
175,639186,T47D
109,302991,EKVX
186,681639,TK_10
80,174121,SN12C
187,681640,HCC_2998
7,3088,SW_620
7,3088,KM12
228,754230,HCT_116
121,344007,SK_MEL_5
251,759155,HS578T
127,353451,MCF7
26,71261,SNB_19
198,683558,SW_620
44,105014,UACC_257
215,735037,RXF_393
168,629971,SR
54,124463,UACC_257
207,710270,M14
32,82151,786_0
111,308847,SNB_75
225,747856,SN12C
191,681644,PC_3
97,268242,OVCAR_3
33,83142,K_562
63,135758,CAKI_1
116,328410,MALME_3M
12,19893,CCRF_CEM
154,606985,NCI_H522
64,138783,RXF_393
74,156303,HL_60
76,164011,UACC_62
263,768593,UACC_257
58,132313,COLO205
140,374551,KM12
21,45388,RPMI_8226
108,301739,PC_3
99,271674,IGROV1
24,63878,CAKI_1
20,38721,MOLT_4
100,276382,RPMI_8226
234,755880,T47D
50,118218,OVCAR_8
217,736201,EKVX
91,256439,MCF7
86,224131,SK_MEL_5
30,77213,KM12
52,122819,HCT_116
240,757098,NCI_H23
156,609699,RXF_393
182,681635,MDA_MB_231
119,338947,TK_10
20,38721,HCT_116
182,681635,TK_10
175,639186,OVCAR_8
0,740,NCI_ADR_RES
153,606869,LOXIMVI
246,758423,SNB_19
91,256439,OVCAR_3
225,747856,NCI_H522
62,134727,MALME_3M
164,619232,NCI_H322M
146,603077,NCI_H23
85,218321,LOXIMVI
82,178248,T47D
70,145668,TK_10
207,710270,HCT_15
67,141549,MOLT_4
173,638066,SNB_75
20,38721,CCRF_CEM
51,118994,OVCAR_8
107,296934,K_562
85,218321,SF_268
53,123127,NCI_H460
131,357704,MDA_N
106,295501,M14
46,107124,SNB_19
252,759195,NCI_H226
164,619232,MALME_3M
107,296934,SR
232,755384,HL_60
145,603076,A549
234,755880,SF_268
99,271674,HL_60
90,249992,K_562
79,172112,NCI_H226
42,102627,SF_295
131,357704,TK_10
126,352299,DU_145
15,26271,NCI_ADR_RES
231,754771,OVCAR_5
158,610457,DU_145
96,267469,SR
220,736624,HS578T
184,681637,MALME_3M
135,366140,RPMI_8226
184,681637,SK_MEL_2
230,754366,CAKI_1
73,154948,K_562
84,184692,CAKI_1
36,94600,A549
0,740,NCI_H322M
125,352122,HL_60
21,45388,K_562
122,348948,SF_539
32,82151,MALME_3M
133,364830,T47D
26,71261,MDA_MB_435
30,77213,M14
6,3053,NCI_ADR_RES
218,736202,SNB_75
221,737518,NCI_ADR_RES
62,134727,HCT_116
120,343499,786_0
173,638066,T47D
34,85998,MOLT_4
72,153353,OVCAR_8
102,281612,OVCAR_3
114,320846,OVCAR_5
197,683557,MDA_MB_231
72,153353,OVCAR_4
103,287459,RPMI_8226
47,107392,SK_OV_3
219,736493,SF_539
115,326231,DU_145
6,3053,HCT_116
35,89201,SNB_75
235,755985,HOP_62
206,709237,PC_3
196,683556,TK_10
227,753686,MCF7
33,83142,MDA_N
84,184692,HCT_15
32,82151,EKVX
229,754365,MDA_MB_435
91,256439,TK_10
46,107124,HS578T
138,369395,K_562
64,138783,BT_549
264,772992,HS578T
193,681646,UACC_257
74,156303,NCI_H226
36,94600,SK_MEL_28
132,363812,SF_539
250,758706,PC_3
118,337766,UO_31
232,755384,PC_3
164,619232,ACHN
265,783107,SF_539
68,143020,SNB_75
47,107392,NCI_H23
114,320846,LOXIMVI
224,740645,NCI_H23
230,754366,NCI_H460
91,256439,786_0
34,85998,HOP_62
154,606985,SR
129,354646,HCT_116
124,351710,UACC_62
77,167780,MALME_3M
58,132313,A498
196,683556,786_0
13,24559,OVCAR_5
13,24559,OVCAR_8
19,34462,NCI_H322M
42,102627,MOLT_4
247,758612,A549
117,329680,SW_620
146,603077,ACHN
204,706744,MDA_MB_435
211,724998,HL_60
267,789797,MALME_3M
227,753686,OVCAR_3
252,759195,NCI_ADR_RES
7,3088,MDA_MB_231
165,623017,OVCAR_4
77,167780,OVCAR_4
218,736202,DU_145
216,736198,OVCAR_8
186,681639,M14
171,637037,NCI_H226
38,95441,A498
27,71795,HCT_15
244,758251,HS578T
124,351710,HCC_2998
16,26980,HS578T
31,79037,OVCAR_8
22,51143,A498
260,765775,K_562
25,63984,U251
150,606497,BT_549
253,759263,SNB_19
104,295499,HOP_62
166,627168,MOLT_4
35,89201,EKVX
142,526598,MDA_MB_231
5,1895,UO_31
126,352299,K_562
39,95466,DU_145
37,95382,MOLT_4
112,312887,K_562
188,681641,HT29
73,154948,HT29
26,71261,LOXIMVI
102,281612,UO_31
142,526598,DU_145
233,755841,SK_OV_3
7,3088,IGROV1
212,725776,HT29
47,107392,T47D
199,694501,KM12
243,758230,MDA_MB_435
252,759195,T47D
44,105014,TK_10
72,153353,HS578T
173,638066,CCRF_CEM
30,77213,SK_OV_3
239,757087,KM12
168,629971,HCT_116
76,164011,MDA_MB_435
146,603077,OVCAR_4
257,760419,UACC_257
216,736198,SF_268
234,755880,NCI_ADR_RES
113,314622,PC_3
251,759155,HL_60
113,314622,RPMI_8226
94,264137,SR
132,363812,EKVX
4,1390,NCI_H322M
19,34462,M14
259,765396,HCT_116
238,757036,OVCAR_4
203,702294,NCI_H522
235,755985,HS578T
2,755,U251
83,182986,HL_60
113,314622,HCT_116
28,71851,T47D
56,126771,MDA_MB_435
229,754365,RPMI_8226
165,623017,RXF_393
89,249910,KM12
97,268242,MCF7
202,698037,MOLT_4
2,755,SNB_75
6,3053,IGROV1
88,246131,MDA_MB_435
47,107392,RXF_393
141,409962,NCI_H226
11,14229,MDA_MB_231
217,736201,CAKI_1
7,3088,HCT_116
188,681641,UACC_62
47,107392,MOLT_4
97,268242,NCI_H23
152,606499,HT29
28,71851,HCT_15
65,139105,ACHN
224,740645,MDA_MB_231
264,772992,MALME_3M
184,681637,HL_60
252,759195,RPMI_8226
12,19893,UACC_257
32,82151,UACC_257
47,107392,PC_3
226,752840,HCT_116
199,694501,SNB_19
18,32065,OVCAR_5
61,134679,SK_MEL_28
90,249992,DU_145
37,95382,HCT_116
264,772992,NCI_H23
68,143020,COLO205
264,772992,SNB_75
39,95466,SK_OV_3
148,606172,CAKI_1
116,328410,NCI_H226
8,6396,NCI_H460
244,758251,T47D
136,368390,UACC_257
11,14229,KM12
155,606986,UO_31
223,740521,HL_60
87,241240,MCF7
83,182986,HCC_2998
254,759614,SN12C
186,681639,BT_549
259,765396,MALME_3M
90,249992,HOP_92
45,105132,MALME_3M
28,71851,SK_MEL_5
106,295501,SN12C
126,352299,HOP_62
7,3088,SF_295
227,753686,IGROV1
191,681644,MOLT_4
47,107392,MALME_3M
115,326231,NCI_H226
232,755384,MDA_MB_231
193,681646,KM12
180,681633,HT29
82,178248,OVCAR_5
4,1390,KM12
242,757804,COLO205
208,719276,UO_31
67,141549,A498
198,683558,MDA_N
109,302991,RPMI_8226
222,740268,UACC_62
33,83142,NCI_H460
104,295499,HS578T
42,102627,K_562
81,176323,MALME_3M
23,56410,NCI_H522
163,618939,SK_MEL_2
190,681643,SK_MEL_28
27,71795,OVCAR_3
42,102627,MDA_MB_435
49,111533,OVCAR_3
137,369100,MOLT_4
38,95441,DU_145
204,706744,SNB_75
24,63878,KM12
124,351710,LOXIMVI
184,681637,OVCAR_8
249,758671,HOP_62
192,681645,MDA_MB_231
181,681634,MDA_MB_231
26,71261,SW_620
88,246131,SNB_19
260,765775,COLO205
88,246131,786_0
254,759614,UO_31
47,107392,SK_MEL_2
181,681634,MCF7
5,1895,EKVX
227,753686,OVCAR_4
189,681642,A498
169,633782,KM12
45,105132,NCI_H23
211,724998,OVCAR_3
256,759878,HCC_2998
263,768593,OVCAR_8
57,127716,UACC_257
38,95441,SK_MEL_5
188,681641,PC_3
70,145668,HT29
101,279836,M14
119,338947,SF_539
59,132483,OVCAR_8
141,409962,SF_268
3,762,OVCAR_5
35,89201,CAKI_1
197,683557,NCI_H522
125,352122,EKVX
32,82151,BT_549
267,789797,COLO205
35,89201,786_0
252,759195,M14
259,765396,SK_MEL_28
56,126771,HOP_92
248,758667,HS578T
161,613327,HCT_116
71,148958,NCI_H23
78,169780,RXF_393
173,638066,SW_620
122,348948,OVCAR_5
87,241240,SK_MEL_5
67,141549,NCI_H460
162,616348,SK_MEL_5
41,100880,SK_MEL_2
130,355644,MOLT_4
243,758230,ACHN
90,249992,M14
85,218321,HCC_2998
148,606172,SN12C
33,83142,MALME_3M
242,757804,TK_10
203,702294,HCT_15
158,610457,HT29
230,754366,TK_10
192,681645,EKVX
139,374028,T47D
209,719627,RXF_393
12,19893,UO_31
108,301739,HCT_116
202,698037,HOP_62
215,735037,A498
5,1895,NCI_H322M
166,627168,SNB_75
265,783107,MCF7
219,736493,HCT_15
16,26980,HOP_92
34,85998,HCT_15
35,89201,NCI_H322M
267,789797,SNB_19
251,759155,SNB_19
130,355644,BT_549
136,368390,HL_60
245,758255,SR
211,724998,MDA_MB_231
44,105014,MDA_MB_435
249,758671,T47D
152,606499,MDA_N
214,734294,LOXIMVI
42,102627,A549
256,759878,SW_620
235,755985,A549
127,353451,A498
117,329680,UACC_257
98,269148,K_562
161,613327,HCT_15
21,45388,UACC_62
106,295501,NCI_H322M
191,681644,NCI_H23
0,740,MDA_MB_231
15,26271,NCI_H322M
144,603074,UACC_257
206,709237,TK_10
57,127716,SK_MEL_28
262,768112,U251
256,759878,SK_MEL_5
165,623017,SN12C
77,167780,HCT_116
242,757804,A498
145,603076,SK_MEL_28
139,374028,TK_10
77,167780,NCI_H522
179,681632,MOLT_4
138,369395,HT29
229,754365,OVCAR_4
86,224131,CCRF_CEM
164,619232,NCI_H23
63,135758,KM12
83,182986,HCT_15
221,737518,COLO205
177,656889,KM12
171,637037,SK_MEL_28
89,249910,MDA_MB_435
121,344007,HT29
205,708298,EKVX
38,95441,U251
264,772992,NCI_H522
144,603074,KM12
68,143020,HCT_15
130,355644,UO_31
183,681636,SNB_75
68,143020,M14
53,123127,NCI_H522
30,77213,MALME_3M
259,765396,OVCAR_4
106,295501,HCC_2998
30,77213,SF_268
65,139105,HS578T
11,14229,SF_268
191,681644,A549
232,755384,SK_MEL_2
106,295501,U251
12,19893,NCI_H522
229,754365,NCI_ADR_RES
251,759155,SK_OV_3
156,609699,A498
183,681636,BT_549
141,409962,TK_10
246,758423,KM12
4,1390,IGROV1
44,105014,HT29
144,603074,SK_MEL_5
5,1895,MALME_3M
240,757098,DU_145
140,374551,SN12C
267,789797,UACC_257
219,736493,M14
256,759878,LOXIMVI
42,102627,CCRF_CEM
3,762,OVCAR_4
140,374551,NCI_ADR_RES
151,606498,U251
210,721517,NCI_H322M
246,758423,SNB_75
181,681634,KM12
2,755,NCI_H226
181,681634,TK_10
165,623017,K_562
149,606173,MALME_3M
259,765396,RPMI_8226
137,369100,HCT_15
193,681646,SN12C
248,758667,SK_MEL_5
65,139105,DU_145
148,606172,SF_539
121,344007,CAKI_1
70,145668,K_562
234,755880,HL_60
3,762,UO_31
64,138783,HOP_92
40,95678,BT_549
31,79037,MOLT_4
196,683556,HS578T
96,267469,RPMI_8226
97,268242,K_562
93,256942,COLO205
186,681639,MOLT_4
247,758612,COLO205
230,754366,NCI_H322M
41,100880,SK_MEL_28
199,694501,SR
246,758423,A549
47,107392,SR
164,619232,HL_60
232,755384,786_0
97,268242,NCI_H226
206,709237,T47D
61,134679,HCT_15
161,613327,RXF_393
132,363812,U251
21,45388,CAKI_1
189,681642,K_562
83,182986,MOLT_4
227,753686,SN12C
258,760764,IGROV1
238,757036,PC_3
55,125066,MDA_MB_435
145,603076,HOP_92
81,176323,COLO205
123,349174,RPMI_8226
51,118994,HCT_116
27,71795,HL_60
193,681646,NCI_H522
2,755,RPMI_8226
188,681641,NCI_H226
253,759263,BT_549
171,637037,HCC_2998
194,682298,HCC_2998
92,256927,OVCAR_4
57,127716,UO_31
66,141540,MDA_MB_231
105,295500,SF_295
239,757087,MALME_3M
139,374028,SNB_19
65,139105,786_0
226,752840,786_0
82,178248,HOP_62
43,104800,UO_31
264,772992,SK_OV_3
116,328410,SK_MEL_28
12,19893,SNB_75
59,132483,SK_MEL_2
111,308847,NCI_ADR_RES
92,256927,U251
198,683558,NCI_H226
16,26980,CAKI_1
250,758706,MCF7
165,623017,NCI_H226
11,14229,BT_549
197,683557,SN12C
55,125066,A549
139,374028,UACC_62
4,1390,HOP_92
106,295501,HOP_62
37,95382,NCI_H23
256,759878,MOLT_4
61,134679,A549
220,736624,RPMI_8226
4,1390,MALME_3M
35,89201,BT_549
226,752840,MDA_MB_435
107,296934,RXF_393
42,102627,UACC_62
91,256439,OVCAR_4
243,758230,SR
117,329680,NCI_H226
72,153353,MCF7
176,643833,K_562
7,3088,UACC_62
233,755841,MOLT_4
220,736624,SF_295
196,683556,NCI_H522
248,758667,RPMI_8226
72,153353,U251
60,134033,UACC_257
252,759195,NCI_H460
129,354646,OVCAR_5
91,256439,HOP_62
19,34462,SNB_75
135,366140,HCT_15
250,758706,NCI_H226
151,606498,RXF_393
129,354646,PC_3
130,355644,MALME_3M
255,759857,DU_145
200,697887,HL_60
85,218321,SF_295
13,24559,BT_549
249,758671,OVCAR_4
244,758251,A498
239,757087,M14
41,100880,M14
189,681642,HCT_116
183,681636,PC_3
58,132313,BT_549
171,637037,BT_549
6,3053,K_562
85,218321,OVCAR_8
183,681636,HS578T
124,351710,NCI_H322M
19,34462,EKVX
139,374028,HCC_2998
11,14229,SK_MEL_28
10,9706,K_562
125,352122,SN12C
178,673596,M14
92,256927,UO_31
158,610457,NCI_H460
250,758706,OVCAR_8
137,369100,SN12C
93,256942,UO_31
192,681645,786_0
248,758667,HCC_2998
131,357704,MDA_MB_231
126,352299,HCT_15
126,352299,SK_MEL_5
57,127716,CCRF_CEM
141,409962,COLO205
251,759155,MDA_MB_231
181,681634,SF_295
238,757036,786_0
85,218321,SK_OV_3
248,758667,T47D
260,765775,DU_145
118,337766,SR
178,673596,DU_145
33,83142,786_0
34,85998,HCT_116
181,681634,NCI_H522
219,736493,SF_268
147,606170,NCI_H226
177,656889,MALME_3M
104,295499,BT_549
9,8806,MALME_3M
45,105132,SK_MEL_28
135,366140,SNB_19
69,143095,SF_539
186,681639,SK_MEL_5
175,639186,SW_620
265,783107,HL_60
90,249992,UACC_62
56,126771,HCC_2998
174,639174,K_562
142,526598,KM12
186,681639,CAKI_1
23,56410,HCC_2998
72,153353,PC_3
244,758251,UO_31
87,241240,OVCAR_4
60,134033,K_562
155,606986,SK_OV_3
72,153353,SF_295
186,681639,MDA_N
32,82151,COLO205
192,681645,UACC_62
52,122819,CAKI_1
84,184692,A549
197,683557,OVCAR_4
57,127716,NCI_H460
106,295501,SF_268
48,109724,LOXIMVI
49,111533,MOLT_4
36,94600,HOP_92
253,759263,NCI_H522
259,765396,OVCAR_8
20,38721,SF_295
141,409962,SF_295
163,618939,HL_60
54,124463,SK_MEL_2
53,123127,HOP_92
63,135758,HCT_15
59,132483,786_0
158,610457,CCRF_CEM
231,754771,MOLT_4
176,643833,MDA_MB_231
139,374028,OVCAR_5
244,758251,SNB_75
170,634724,NCI_H23
61,134679,786_0
212,725776,COLO205
11,14229,NCI_H460
265,783107,HS578T
58,132313,MDA_MB_231
48,109724,UO_31
234,755880,EKVX
51,118994,SK_MEL_28
52,122819,KM12
25,63984,ACHN
13,24559,ACHN
160,610459,DU_145
182,681635,SW_620
149,606173,ACHN
90,249992,SK_MEL_28
206,709237,HOP_62
218,736202,TK_10
156,609699,SK_MEL_28
59,132483,RXF_393
220,736624,M14
19,34462,SF_268
42,102627,SK_MEL_2
171,637037,MDA_MB_435
40,95678,NCI_ADR_RES
191,681644,IGROV1
217,736201,A549
38,95441,IGROV1
245,758255,K_562
1,752,NCI_H226
99,271674,786_0
206,709237,SK_MEL_2
12,19893,SR
171,637037,HCT_15
139,374028,KM12
18,32065,TK_10
93,256942,MDA_N
71,148958,BT_549
95,266046,NCI_H23
243,758230,EKVX
107,296934,NCI_H460
45,105132,UACC_257
49,111533,A498
106,295501,COLO205
226,752840,SW_620
46,107124,T47D
131,357704,SN12C
26,71261,TK_10
236,756660,SK_MEL_2
24,63878,LOXIMVI
188,681641,HOP_62
247,758612,UACC_257
69,143095,SN12C
73,154948,MOLT_4
91,256439,NCI_H460
228,754230,SK_MEL_28
173,638066,MCF7
179,681632,NCI_H23
19,34462,HCC_2998
65,139105,NCI_H522
92,256927,SF_295
39,95466,PC_3
25,63984,NCI_H23
7,3088,HS578T
57,127716,SNB_75
222,740268,BT_549
113,314622,HOP_62
165,623017,MCF7
174,639174,TK_10
259,765396,NCI_H460
32,82151,NCI_H460
9,8806,SF_539
203,702294,COLO205
70,145668,HOP_92
216,736198,M14
61,134679,ACHN
84,184692,COLO205
123,349174,HCT_15
114,320846,SK_MEL_2
194,682298,BT_549
21,45388,MOLT_4
137,369100,HCC_2998
2,755,NCI_H23
156,609699,CCRF_CEM
35,89201,CCRF_CEM
107,296934,MDA_MB_231
3,762,KM12
75,163501,IGROV1
123,349174,HCC_2998
121,344007,SW_620
228,754230,SNB_19
125,352122,SNB_19
108,301739,M14
56,126771,CAKI_1
149,606173,CAKI_1
240,757098,EKVX
36,94600,NCI_H226
89,249910,SK_MEL_28
236,756660,TK_10
65,139105,CCRF_CEM
143,603071,PC_3
5,1895,SF_295
193,681646,SW_620
236,756660,HCT_116
124,351710,RPMI_8226
39,95466,MDA_MB_231
204,706744,CAKI_1
217,736201,SR
80,174121,NCI_H460
18,32065,KM12
11,14229,TK_10
218,736202,RXF_393
99,271674,SK_MEL_28
122,348948,A549
227,753686,CAKI_1
122,348948,786_0
95,266046,HCC_2998
99,271674,U251
99,271674,OVCAR_8
31,79037,DU_145
61,134679,NCI_H322M
10,9706,SF_268
230,754366,ACHN
206,709237,UO_31
155,606986,HS578T
48,109724,HCC_2998
121,344007,SK_OV_3
204,706744,SK_MEL_28
203,702294,NCI_H460
197,683557,U251
120,343499,OVCAR_8
85,218321,NCI_ADR_RES
17,27640,NCI_H460
164,619232,SF_268
123,349174,NCI_H23
259,765396,SK_MEL_5
67,141549,OVCAR_5
211,724998,A498
130,355644,SF_295
83,182986,TK_10
74,156303,HCC_2998
147,606170,K_562
68,143020,HS578T
105,295500,SK_MEL_2
46,107124,SN12C
177,656889,CAKI_1
27,71795,MCF7
130,355644,T47D
54,124463,HT29
114,320846,MALME_3M
79,172112,MOLT_4
189,681642,MALME_3M
211,724998,K_562
222,740268,A549
4,1390,UACC_62
178,673596,NCI_H226
252,759195,RXF_393
216,736198,MDA_MB_231
128,354258,RXF_393
209,719627,ACHN
77,167780,K_562
133,364830,SF_539
239,757087,NCI_H460
239,757087,UACC_62
163,618939,PC_3
175,639186,U251
178,673596,TK_10
202,698037,MDA_MB_435
134,365798,K_562
212,725776,M14
34,85998,OVCAR_5
47,107392,CAKI_1
174,639174,EKVX
21,45388,786_0
147,606170,HT29
224,740645,A498
54,124463,HS578T
36,94600,OVCAR_4
112,312887,HS578T
174,639174,OVCAR_8
29,73754,EKVX
188,681641,NCI_H322M
202,698037,OVCAR_4
22,51143,NCI_H522
241,757348,LOXIMVI
94,264137,CAKI_1
5,1895,RXF_393
188,681641,SF_539
35,89201,A498
30,77213,UACC_62
22,51143,SN12C
182,681635,SF_539
177,656889,EKVX
24,63878,EKVX
208,719276,T47D
65,139105,NCI_H23
37,95382,IGROV1
124,351710,SF_268
235,755985,KM12
236,756660,UACC_62
0,740,CAKI_1
234,755880,A549
48,109724,SK_MEL_28
113,314622,SR
9,8806,HOP_62
70,145668,U251
78,169780,MALME_3M
178,673596,SNB_19
7,3088,HCT_15
206,709237,LOXIMVI
187,681640,UACC_257
172,637651,HCT_15
149,606173,HL_60
197,683557,UACC_62
231,754771,SW_620
212,725776,CAKI_1
259,765396,MCF7
130,355644,EKVX
8,6396,PC_3
58,132313,SK_MEL_5
182,681635,HOP_92
139,374028,SF_539
124,351710,EKVX
136,368390,UO_31
259,765396,SNB_75
187,681640,NCI_H23
92,256927,SF_539
147,606170,SNB_75
166,627168,UACC_62
147,606170,MALME_3M
262,768112,HL_60
99,271674,NCI_H322M
165,623017,SW_620
134,365798,UACC_257
75,163501,NCI_ADR_RES
166,627168,LOXIMVI
122,348948,SNB_19
183,681636,HCT_15
31,79037,HL_60
10,9706,COLO205
10,9706,HS578T
137,369100,CAKI_1
207,710270,OVCAR_8
41,100880,MDA_N
151,606498,KM12
243,758230,NCI_H322M
35,89201,HOP_62
247,758612,MCF7
76,164011,EKVX
102,281612,NCI_H23
210,721517,U251
71,148958,NCI_H226
21,45388,SR
0,740,RPMI_8226
5,1895,NCI_H460
133,364830,MOLT_4
157,610456,PC_3
166,627168,A498
33,83142,EKVX
203,702294,T47D
201,697912,NCI_H460
246,758423,SF_295
173,638066,SK_MEL_28
87,241240,HCC_2998
42,102627,NCI_H226
220,736624,NCI_H522
189,681642,SN12C
14,25154,LOXIMVI
91,256439,SK_MEL_2
111,308847,ACHN
190,681643,U251
168,629971,SK_MEL_28
85,218321,UACC_257
240,757098,SN12C
256,759878,ACHN
234,755880,UACC_257
119,338947,EKVX
180,681633,IGROV1
222,740268,HOP_92
90,249992,OVCAR_5
266,784722,NCI_H322M
134,365798,NCI_H460
124,351710,SN12C
30,77213,NCI_H322M
86,224131,SR
153,606869,NCI_H322M
169,633782,SK_OV_3
19,34462,U251
131,357704,A498
163,618939,SK_MEL_28
11,14229,M14
14,25154,NCI_H23
92,256927,A498
226,752840,LOXIMVI
155,606986,NCI_H460
103,287459,TK_10
113,314622,U251
163,618939,786_0
85,218321,SW_620
65,139105,SNB_19
245,758255,SW_620
116,328410,RXF_393
259,765396,DU_145
